9481.3828,2812.9634,1496.3054,755.1232,583.0254,311.1827,PET
9469.1436,2811.946,1495.1727,754.1637,583.0254,311.1827,PET
635.084,427.2856,878.9803,416.4212,178.3958,76.617,PET_BLUE
610.6054,461.8754,942.4119,439.4491,184.3756,77.7957,PET_BLUE
590.2066,442.5458,885.7766,419.2997,177.3992,75.4382,PET_BLUE
349.5002,288.9265,656.9698,321.4311,135.541,57.7574,PET_BLUE
631.0043,438.4764,937.8811,439.4491,186.3688,78.9744,PET_BLUE
673.1619,447.6325,950.3409,444.2466,189.3587,80.1531,PET_BLUE
624.2047,435.4243,936.7484,437.5301,185.3722,78.9744,PET_BLUE
766.9966,481.205,974.1277,451.9225,193.3452,82.5106,PET_BLUE
728.9187,484.257,988.8529,457.6795,195.3384,82.5106,PET_BLUE
635.084,428.3029,880.113,417.3807,179.3924,76.617,PET_BLUE
892.1095,212.6254,150.65,184.2232,188.3621,74.2595,PET_GREEN
648.6833,164.8102,101.9436,129.5319,133.5477,55.4,PET_GREEN
537.1696,146.4979,89.4838,118.018,122.5848,50.6851,PET_GREEN
38.0778,17.2949,6.7962,11.5139,23.919,11.7872,PET_GREEN
892.1095,212.6254,150.65,184.2232,188.3621,74.2595,PET_GREEN
722.1191,176.001,114.4034,141.0459,145.5072,60.1148,PET_GREEN
723.4791,177.0183,114.4034,141.0459,145.5072,60.1148,PET_GREEN
860.8312,209.5734,144.9865,176.5472,177.3992,70.7234,PET_GREEN
860.8312,209.5734,144.9865,176.5472,177.3992,70.7234,PET_GREEN
860.8312,208.5561,144.9865,176.5472,177.3992,70.7234,PET_GREEN
6221.6479,1688.7954,762.3116,403.9477,352.8051,196.8467,PP
6080.2158,1684.726,752.1172,401.0692,350.8119,198.0254,PP
6055.7373,1691.8474,749.8518,401.0692,351.8085,199.2041,PP
6081.5757,1655.2229,750.9845,396.2718,344.8321,192.1318,PP
6255.646,1715.2465,766.8424,408.7452,359.7815,201.5616,PP
6338.6011,1739.6627,778.1694,414.5022,363.768,205.0977,PP
6346.7607,1739.6627,778.1694,414.5022,364.7646,205.0977,PP
6130.5327,1697.9515,757.7808,404.9072,353.8018,200.3828,PP
6384.8384,1737.6281,779.3022,414.5022,363.768,203.919,PP
6040.7778,1691.8474,746.4537,401.0692,351.8085,199.2041,PP
2521.2974,1064.1445,511.9834,281.1323,193.3452,109.6212,PS
2518.5774,1063.1272,511.9834,280.1728,193.3452,109.6212,PS
2572.9744,1079.4048,519.9124,284.0107,196.3351,111.9786,PS
7438.7788,2290.0474,1114.5834,583.3734,457.4507,249.8892,PS
7328.625,2227.989,1102.1235,576.657,444.4946,247.5317,PS
7430.6191,2283.9431,1112.3179,582.4139,456.4541,249.8892,PS
7796.4385,2436.5452,1208.598,631.3482,487.3495,265.2126,PS
7935.1509,2471.135,1225.5886,639.0242,494.3258,268.7487,PS
7820.917,2439.5972,1210.8634,633.2672,488.3461,265.2126,PS
7814.1177,2437.5625,1210.8634,632.3077,488.3461,265.2126,PS
373.9788,140.3938,66.8297,35.5013,25.9122,16.5021,PVC
10597.8799,3031.6929,1615.2396,806.936,634.8499,335.9359,PVC
44.8775,22.3816,11.3271,6.7165,3.9865,4.7149,PVC
12660.8828,3467.1172,1931.2648,945.1033,742.4854,381.9061,PVC
12459.6143,3449.8225,1900.6818,932.6299,736.5056,378.3699,PVC
11250.6426,3198.5378,1719.4487,852.9918,671.725,351.2593,PVC
3901.6191,1169.9486,624.1213,318.5526,238.1933,122.5871,PVC
1025.382,359.1234,193.6928,94.0306,68.7671,35.3617,PVC
13629.1484,3634.9795,2084.1802,1005.5516,790.3234,400.7657,PVC
10608.7598,3033.7275,1617.5051,806.936,634.8499,335.9359,PVC
